network_id,target_station,donor_station,gap_length,realized_mae,n_placements
chmi_zelivka,0-203-1-161400,0-203-1-162520,90,1.5240280565334365,20
chmi_zelivka,0-203-1-161400,0-203-1-163300,90,1.6500444134847119,20
chmi_zelivka,0-203-1-161700,0-203-1-161400,90,1.0544519160173285,20
chmi_zelivka,0-203-1-161700,0-203-1-162000,90,1.7276923317300867,20
chmi_zelivka,0-203-1-161700,0-203-1-162520,90,1.6537771726865196,20
chmi_zelivka,0-203-1-161700,0-203-1-163300,90,1.8034647130129469,20
chmi_zelivka,0-203-1-162000,0-203-1-161400,90,1.2881152876644235,20
chmi_zelivka,0-203-1-162000,0-203-1-161700,90,1.2661934338122933,20
chmi_zelivka,0-203-1-162000,0-203-1-162520,90,1.239211597525458,20
chmi_zelivka,0-203-1-162000,0-203-1-163300,90,1.3834883455407925,20
chmi_zelivka,0-203-1-162520,0-203-1-161400,90,0.8984325308160785,20
