source_station,target_station,variable,lag_days,lag_definition,period,raw_correlation,raw_n_pairs,anomaly_correlation,anomaly_n_pairs
B1,P3,T,17,positive=source_leads_target,train,0.9241620220645869,3635,0.15839645851675435,3635
B1,P3,T,18,positive=source_leads_target,train,0.9200026317235732,3634,0.15396420467528985,3634
B1,P3,T,19,positive=source_leads_target,train,0.9155418590857451,3633,0.14819688546606075,3633
B1,P3,T,20,positive=source_leads_target,train,0.9108915026351332,3632,0.14547466957112534,3632
B1,P3,T,21,positive=source_leads_target,train,0.9060195235253128,3631,0.14515141486197589,3631
B1,P3,T,22,positive=source_leads_target,train,0.9008409931773705,3630,0.14174447157410208,3630
B1,P3,T,23,positive=source_leads_target,train,0.8953859876720786,3629,0.1386910617502631,3629
B1,P3,T,24,positive=source_leads_target,train,0.8897866155494318,3628,0.13768038463357743,3628
B1,P3,T,25,positive=source_leads_target,train,0.8839566325961266,3627,0.13636011788265207,3627
B1,P3,T,26,positive=source_leads_target,train,0.8779714513188234,3626,0.13645536303692224,3626
B1,P3,T,27,positive=source_leads_target,train,0.871653806814189,3625,0.1356308187014991,3625
B1,P3,T,28,positive=source_leads_target,train,0.8650793947440732,3624,0.1378821342165704,3624
B1,P3,T,29,positive=source_leads_target,train,0.8582493559797603,3623,0.1386285131049936,3623
B1,P3,T,30,positive=source_leads_target,train,0.8511688188572232,3622,0.14039162855643286,3622
B1,P3,F,-30,positive=source_leads_target,train,0.6112834847173821,3622,0.26691340074549974,3622
B1,P3,F,-29,positive=source_leads_target,train,0.6240007803405133,3623,0.27851971581019125,3623
B1,P3,F,-28,positive=source_leads_target,train,0.6358879339644155,3624,0.28770510375841835,3624
B1,P3,F,-27,positive=source_leads_target,train,0.6470187393572997,3625,0.2957471096756072,3625
B1,P3,F,-26,positive=source_leads_target,train,0.6576484719483836,3626,0.30214788328406605,3626
B1,P3,F,-25,positive=source_leads_target,train,0.6680464807418554,3627,0.3080447999735041,3627
B1,P3,F,-24,positive=source_leads_target,train,0.6783416093000589,3628,0.314380716903087,3628
B1,P3,F,-23,positive=source_leads_target,train,0.6886936043051818,3629,0.3220554023130004,3629
B1,P3,F,-22,positive=source_leads_target,train,0.6991023404336888,3630,0.33136384475575453,3630
B1,P3,F,-21,positive=source_leads_target,train,0.709511502846532,3631,0.3401286127901643,3631
B1,P3,F,-20,positive=source_leads_target,train,0.7199826441234674,3632,0.3474952101969037,3632
B1,P3,F,-19,positive=source_leads_target,train,0.7306029862805757,3633,0.35351823698570073,3633
B1,P3,F,-18,positive=source_leads_target,train,0.7413955636376617,3634,0.36166817004886126,3634
B1,P3,F,-17,positive=source_leads_target,train,0.752239303809405,3635,0.37360615946642456,3635
B1,P3,F,-16,positive=source_leads_target,train,0.76267271211193,3636,0.38667035571332453,3636
B1,P3,F,-15,positive=source_leads_target,train,0.7726081953307976,3637,0.40127675737790125,3637
B1,P3,F,-14,positive=source_leads_target,train,0.7821462417028998,3638,0.4145530350566432,3638
B1,P3,F,-13,positive=source_leads_target,train,0.7914334831279402,3639,0.427149838804299,3639
B1,P3,F,-12,positive=source_leads_target,train,0.8005330544456664,3640,0.4369036861301754,3640
B1,P3,F,-11,positive=source_leads_target,train,0.8095888596040052,3641,0.44791790645242197,3641
B1,P3,F,-10,positive=source_leads_target,train,0.8187136148414634,3642,0.45896677103529376,3642
B1,P3,F,-9,positive=source_leads_target,train,0.8277139995216719,3643,0.4705148501650387,3643
B1,P3,F,-8,positive=source_leads_target,train,0.8365252175804424,3644,0.48383288603250274,3644
B1,P3,F,-7,positive=source_leads_target,train,0.8453673523836842,3645,0.5002189014521018,3645
B1,P3,F,-6,positive=source_leads_target,train,0.8543146881212151,3646,0.5202272457570953,3646
B1,P3,F,-5,positive=source_leads_target,train,0.8636147097014314,3647,0.543105299092041,3647
B1,P3,F,-4,positive=source_leads_target,train,0.8731752285331744,3648,0.5692118580596878,3648
B1,P3,F,-3,positive=source_leads_target,train,0.8832679618071191,3649,0.5982965550167966,3649
B1,P3,F,-2,positive=source_leads_target,train,0.8944770928527143,3650,0.6331303952578214,3650
B1,P3,F,-1,positive=source_leads_target,train,0.9067928098458103,3651,0.6732086040395,3651
B1,P3,F,0,positive=source_leads_target,train,0.9196211490687273,3652,0.7159211817582919,3652
B1,P3,F,1,positive=source_leads_target,train,0.9320374428628437,3651,0.757691434793201,3651
B1,P3,F,2,positive=source_leads_target,train,0.9419363590254521,3650,0.7896994857561053,3650
B1,P3,F,3,positive=source_leads_target,train,0.9467961500441061,3649,0.801974382618576,3649
B1,P3,F,4,positive=source_leads_target,train,0.9447217891795227,3648,0.7838965218047644,3648
B1,P3,F,5,positive=source_leads_target,train,0.9372220572481686,3647,0.7450912770600977,3647
B1,P3,F,6,positive=source_leads_target,train,0.9273216708612421,3646,0.6997785071543667,3646
B1,P3,F,7,positive=source_leads_target,train,0.9171703772207371,3645,0.6559294085764761,3645
B1,P3,F,8,positive=source_leads_target,train,0.9078897025920992,3644,0.6196880374897501,3644
B1,P3,F,9,positive=source_leads_target,train,0.8997524758991716,3643,0.5891058186367722,3643
B1,P3,F,10,positive=source_leads_target,train,0.8921264472601528,3642,0.5612470269668758,3642
B1,P3,F,11,positive=source_leads_target,train,0.88456997471354,3641,0.5345196915148419,3641
B1,P3,F,12,positive=source_leads_target,train,0.8766682474824422,3640,0.5089169439619,3640
