evaluation_split,experiment,station_id,target,model,gap_length,window,information_combination,primary_data_version,sensitivity_data_version,primary_MAE,sensitivity_MAE,MAE_difference,ci_lower,ci_upper,p_value,n_paired_anchors,n_years,hypothesis_family,training_seeds_collapsed_first,bootstrap_unit,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,status
development_test,M2,B1,L,random_forest,30.0,368,full_information,published_v2,no_s2_suspect_v2,8.715027685132014,8.726154206434167,0.011126521302152819,0.005926814367321112,0.016499246810746215,0.001770566779669025,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.01317264604141196,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,random_forest,90.0,368,full_information,published_v2,no_s2_suspect_v2,8.618749905598088,8.628636115250822,0.009886209652732807,0.005471505509584383,0.014648789709482973,0.005576999594268273,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.037854233334343304,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,random_forest,180.0,368,full_information,published_v2,no_s2_suspect_v2,8.350654728858505,8.360407517650405,0.009752788791898618,0.0062775348268294725,0.013229193042235646,0.0022767432674299926,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.016548604516716213,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,xgboost,10.0,368,full_information,published_v2,no_s2_suspect_v2,8.789779052734374,8.808710937499999,0.018931884765624955,0.00882734680175797,0.030028503417968717,0.012015921452984912,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.07538465512005103,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,xgboost,30.0,368,full_information,published_v2,no_s2_suspect_v2,8.70291768391927,8.719769083658855,0.01685139973958335,0.007069636027018465,0.02647148132324229,0.021546060141190537,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.12496714881890511,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,xgboost,90.0,368,full_information,published_v2,no_s2_suspect_v2,8.606297132703991,8.618976711697048,0.012679578993055735,0.005213629828559397,0.02034030999077695,0.03439493566293095,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.17870275530904892,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,xgboost,180.0,368,full_information,published_v2,no_s2_suspect_v2,8.339938218858507,8.353165011935763,0.013226793077256962,0.008312730577257071,0.018824481540256146,0.010628069954691455,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.06772415876958097,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_hydro,10.0,368,full_information,published_v2,no_s2_suspect_v2,1.5339804520232478,1.5339804520232478,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_hydro,30.0,368,full_information,published_v2,no_s2_suspect_v2,1.6069306694052403,1.6069306694052403,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_hydro,90.0,368,full_information,published_v2,no_s2_suspect_v2,1.601548215459245,1.601548215459245,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_hydro,180.0,368,full_information,published_v2,no_s2_suspect_v2,1.5523865920526283,1.5523865920526283,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_only,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.6071681501481997,0.6071681501481997,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_only,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.6693606994342314,0.6693606994342314,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_only,90.0,368,full_information,published_v2,no_s2_suspect_v2,0.6441578342055138,0.6441578342055138,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,air_only,180.0,368,full_information,published_v2,no_s2_suspect_v2,0.6580464902196522,0.6580464902196522,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,climatology,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.6807499921321869,0.6807499921321869,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,climatology,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.7571666431427001,0.7571666431427001,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,climatology,90.0,368,full_information,published_v2,no_s2_suspect_v2,0.6991110970576604,0.6991110970576604,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,climatology,180.0,368,full_information,published_v2,no_s2_suspect_v2,0.7175138778818978,0.7175138778818978,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,donor_regression,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.45601899949362606,0.657098870364265,0.2010798708706388,0.12267531145788779,0.2788292782846907,1.79387057626268e-05,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.00023935118205345242,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,donor_regression,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.5210180797193615,0.7002641694946661,0.1792460897753046,0.10684030469373071,0.2579872877238531,3.6913752552548744e-05,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.0004561255858884501,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,donor_regression,90.0,368,full_information,published_v2,no_s2_suspect_v2,0.5237084833369952,0.6677107821329085,0.14400229879591325,0.09958953709430171,0.19361025943253307,4.505881608515819e-06,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,7.074980956575667e-05,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,donor_regression,180.0,368,full_information,published_v2,no_s2_suspect_v2,0.5335183336849623,0.6544051867583163,0.120886853073354,0.08192177089198721,0.1596767692198837,1.8525206225081028e-06,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,3.519925204190341e-05,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,kalman,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.43800976437882183,0.43800976437882183,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,T,kalman,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.651777939540578,0.651777939540578,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
