network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649190,30,SON,4,2018-09-23,0.40144554138183586,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,SON,5,2018-10-18,0.4384574317932129,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,SON,6,2018-11-11,0.4044297401110332,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,SON,7,2019-09-12,0.7549715741475421,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,SON,8,2019-10-06,0.2932567850748698,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,SON,9,2019-11-30,0.7387524461746218,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,0,2015-01-16,0.7665760485331217,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,1,2015-01-26,0.737898604075114,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,2,2015-02-05,0.6606815205679999,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,3,2016-12-11,0.6404331431123946,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,4,2016-12-21,0.6443031639522977,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,5,2017-01-01,0.6080520574251812,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,6,2017-01-11,0.5620638840728336,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,7,2017-01-22,0.4964236418406169,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,8,2017-02-01,0.45724985890918307,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,DJF,9,2017-02-12,0.5303775400585599,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,JJA,0,2015-06-30,0.2692938147650823,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,0,2016-10-17,0.6460697264141507,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
