endpoint,anchor,effect_scale,margin,panel_size,power,mean_panel_effect
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,120,0.008,0.3205608261402333
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,140,0.0,0.3205378727967804
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,160,0.0,0.32542422694023354
d_rho_net,0.5280010370754473,1.5,0.792001555613171,40,0.0,0.3132172607879925
d_rho_net,0.5280010370754473,1.5,0.792001555613171,60,0.0,0.31380805779383164
d_rho_net,0.5280010370754473,1.5,0.792001555613171,80,0.0,0.31215846225972815
d_rho_net,0.5280010370754473,1.5,0.792001555613171,100,0.0,0.307058773305902
d_rho_net,0.5280010370754473,1.5,0.792001555613171,120,0.0,0.31483216890061805
d_rho_net,0.5280010370754473,1.5,0.792001555613171,140,0.0,0.3169538802049415
d_rho_net,0.5280010370754473,1.5,0.792001555613171,160,0.0,0.3138675377944451
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,40,0.0,-0.12744458212382126
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,60,0.0,-0.12744458212382126
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,80,0.0,-0.12744458212382126
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,100,0.0,-0.12744458212382126
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,120,0.0,-0.12744458212382126
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,140,0.0,-0.12744458212382126
d_cap_simple_b20,-0.12744458212382126,0.0,0.0,160,0.0,-0.12744458212382126
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,40,0.0,-0.21563978565912623
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,60,0.0,-0.21563978565912623
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,80,0.0,-0.21563978565912623
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,100,0.0,-0.21563978565912623
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,120,0.0,-0.21563978565912623
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,140,0.0,-0.21563978565912623
d_ndcg_simple_b20,-0.21563978565912623,0.0,0.0,160,0.0,-0.21563978565912623
d_rho_all,-0.09281734621476413,0.0,0.0,40,0.0,-0.09281734621476413
d_rho_all,-0.09281734621476413,0.0,0.0,60,0.0,-0.09281734621476413
d_rho_all,-0.09281734621476413,0.0,0.0,80,0.0,-0.09281734621476413
d_rho_all,-0.09281734621476413,0.0,0.0,100,0.0,-0.09281734621476413
d_rho_all,-0.09281734621476413,0.0,0.0,120,0.0,-0.09281734621476413
d_rho_all,-0.09281734621476413,0.0,0.0,140,0.0,-0.09281734621476413
d_rho_all,-0.09281734621476413,0.0,0.0,160,0.0,-0.09281734621476413
