site_id,name,river,water_body_type,latitude,longitude,source,historical_daily_public,note
2116,Koblenz,Rhein,river,47.609,8.2343,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2117,"Le Châble, Villette",Drance de Bagnes,river,46.0807,7.2131,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2118,Murg,Walensee,lake,47.1134,9.21,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2119,Fribourg,Sarine,river,46.8039,7.169,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2122,"Moutier, La Charrue",Birse,river,47.284,7.3823,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2125,Frauenthal,Lorze,river,47.2153,8.425,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2126,Wängi,Murg,river,47.4963,8.953,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2130,Laufenburg,Rhein (Oberwasser),river,47.5558,8.0498,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2132,Neftenbach,Töss,river,47.5188,8.653,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2135,"Bern, Schönau",Aare,river,46.9331,7.448,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2137,Gelfingen,Baldeggersee,lake,47.2099,8.2664,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2139,St.Margrethen,Rheintaler Binnenkanal,river,47.4496,9.6553,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2141,Tiefencastel,Albula,river,46.6625,9.5741,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2143,Rekingen,Rhein,river,47.5703,8.3298,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2150,Felsenbach,Landquart,river,46.9746,9.6121,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2151,Oberwil,Simme,river,46.655,7.4394,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2152,"Luzern, Geissmattbrücke",Reuss,river,47.054,8.2985,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2154,Grandson,Lac de Neuchâtel,lake,46.8058,6.6424,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2155,"Wiler, Limpachmündung",Emme,river,47.1601,7.547,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2156,Gerlafingen,Werkkanal,river,47.1638,7.5543,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2157,Gerlafingen,Strackbach,river,47.1606,7.5609,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2159,"Belp, Mülimatt",Gürbe,river,46.8852,7.5017,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
