request_ordinal,target_station_id,direction,status,response_sha256,http_status
271,02306028,DM,complete,deb14755bfb1d10ce0686891df0bdf4a3c967564b38890d256709f0ee7108161,200.0
272,02310308,UM,complete,ea015e39323197be74e68199e824b24b8e03d6c89e1cf0a3a3d85a3192b29e4a,200.0
273,02310308,DM,complete,dd576eef2484d7619f43f6cfcf6660fdc8c26dd97cb07909ff8a0688196aaa41,200.0
274,02310650,UM,complete,780c50cee618b6a99884d7a9ecafdf5abdbe4cf8348008d506fc7ddbba7f9ea2,200.0
275,02310650,DM,complete,88f3ea3e8b2b658b00942c270a0bed84e712d78d9358fccfc8e1af30e225eeec,200.0
276,02310673,UM,complete,88f3ea3e8b2b658b00942c270a0bed84e712d78d9358fccfc8e1af30e225eeec,200.0
277,02310673,DM,complete,1fd38b9ae95e30fcae44cb0c0d4bcb40f5004879facdaae308b53c69a802283e,200.0
278,02310674,UM,complete,88f3ea3e8b2b658b00942c270a0bed84e712d78d9358fccfc8e1af30e225eeec,200.0
279,02310674,DM,complete,1fd38b9ae95e30fcae44cb0c0d4bcb40f5004879facdaae308b53c69a802283e,200.0
282,02310690,UM,complete,057eda56d4a05c38f05810fe6213debef8a13d1486d6eb35a4381f8124f3d057,200.0
283,02310690,DM,complete,e58ba807f3d385e81035e406256486b05a16f7f9e3783f09350f20cad6297f46,200.0
284,02310700,UM,complete,929f6cad9ea65099fa399f543023082b85794d68411fa7886b067873fb056053,200.0
285,02310700,DM,complete,5fde1404252b26890bdccbd452525a6cd7d8e6ba090abaa9ee84794788752dc9,200.0
286,02310740,UM,complete,56a8bbfa2234ff7ba755a7fac5af0c010ed073729d4baddfdf5921b99d61cab6,200.0
287,02310740,DM,complete,a44eca672c620e2e97ba487466e7d76ea4e02bc85e1850de4b0c0615330e99ce,200.0
288,02310742,UM,complete,56a8bbfa2234ff7ba755a7fac5af0c010ed073729d4baddfdf5921b99d61cab6,200.0
289,02310742,DM,complete,a44eca672c620e2e97ba487466e7d76ea4e02bc85e1850de4b0c0615330e99ce,200.0
290,02310752,UM,complete,7499bfe6b33375ccfd3ffc9d00ad8d54042265a7dede2e1fc3387806d78191cb,200.0
291,02310752,DM,complete,a952d51c8a1045b64b04f8a166f54c31d44e91ef9bea468e9d190eb85336c93c,200.0
