station_id,donors,gap_length,average_boundary_distance_days,effective_acf_lag_days,seasonal_variance_fraction,anomaly_sd_degC,R2_donor,rho,donor_component,memory_component,R2_avail,predicted_skill,calibration,post_hoc_state_control
S2,"B1,P3",1,0.25,1.0,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.9148520521290618,0.5237183000296537,0.39862600598263603,0.9223443060122898,0.7213322875040773,state_matched_2016_2020,True
S2,"B1,P3",3,0.75,1.0,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.9148520521290618,0.5237183000296537,0.39862600598263603,0.9223443060122898,0.7213322875040773,state_matched_2016_2020,True
S2,"B1,P3",7,1.75,1.75,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.8487024939305561,0.5237183000296537,0.34306376678528516,0.8667820668149389,0.6350096806967873,state_matched_2016_2020,True
S2,"B1,P3",10,2.5,2.5,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.7842959747834775,0.5237183000296537,0.29297048314066093,0.8166887831703147,0.5718514080022155,state_matched_2016_2020,True
S2,"B1,P3",14,3.5,3.5,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.7024843918547645,0.5237183000296537,0.23503755121912537,0.7587558512487791,0.5088338888408312,state_matched_2016_2020,True
S2,"B1,P3",21,5.25,5.25,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.5796877351420343,0.5237183000296537,0.16004868810856368,0.6837669881382173,0.4376540105399678,state_matched_2016_2020,True
S2,"B1,P3",30,7.5,7.5,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.4527399538000052,0.5237183000296537,0.09762511072423978,0.6213434107538934,0.38464921447510403,state_matched_2016_2020,True
S2,"B1,P3",45,11.25,11.25,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.33168714000891963,0.5237183000296537,0.0523987784163381,0.5761170784459918,0.34893708325999073,state_matched_2016_2020,True
S2,"B1,P3",60,15.0,15.0,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.2880922204504186,0.5237183000296537,0.03953001297076012,0.5632483130004138,0.33912808578394993,state_matched_2016_2020,True
S2,"B1,P3",90,22.5,22.5,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.2217997101639712,0.5237183000296537,0.023430731301549778,0.5471490313312035,0.327057975254334,state_matched_2016_2020,True
S2,"B1,P3",120,30.0,30.0,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.18356805403568136,0.5237183000296537,0.016049374208946716,0.5397676742386004,0.32159575048397615,state_matched_2016_2020,True
S2,"B1,P3",150,37.5,37.5,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.12775520538941543,0.5237183000296537,0.007773580567732072,0.5314918805973857,0.3155234705246539,state_matched_2016_2020,True
S2,"B1,P3",180,45.0,45.0,0.9732773609154937,0.7338756481028722,0.5237183000296537,0.1069221994620538,0.5237183000296537,0.005445022301748359,0.5291633223314021,0.31382460138198054,state_matched_2016_2020,True
