analysis,station_id,gap_length,best_model,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units,R2_donor,rho,predicted_skill,calibration,best_exceeds_budget,best_lower_ci_exceeds_budget,prediction_error
bridge_2016_2017_climatology,P3,60.0,kalman,0.4289597510997728,0.3040120434169181,0.5356223350227374,0.4363518243833745,1.1896666838328045,20,20,0.013195444544315094,0.22548603498889092,0.032202752623580966,bridge_2016_2017,True,True,0.39675699847619184
bridge_2016_2017_climatology,P3,90.0,kalman,0.37920517681840354,0.22636171088079063,0.5012900561211747,0.48016754285477947,1.1388889059490628,20,20,0.013195444544315094,-0.003942528184834891,0.006627352384330654,bridge_2016_2017,True,True,0.3725778244340729
bridge_2016_2017_climatology,P3,120.0,kalman,0.17148908848657912,0.02101132996419302,0.3104284986270046,0.6831976065236482,1.0911458540757497,20,20,0.013195444544315094,-0.09591792191063024,0.01119986394068162,bridge_2016_2017,True,True,0.1602892245458975
bridge_2016_2017_climatology,P3,150.0,xgboost,-0.0824177804178183,-0.25126405234091054,0.07120414059633177,0.9129704411824544,1.0563166805903117,20,20,0.013195444544315094,-0.16133856972546914,0.019633792623709123,bridge_2016_2017,False,False,-0.10205157304152743
bridge_2016_2017_climatology,P3,180.0,xgboost,-0.11832747107034955,-0.23759154545523722,0.0027357815822149313,0.9182780493630303,1.0156389072736105,20,20,0.013195444544315094,-0.10829772703898485,0.012462193536329269,bridge_2016_2017,False,False,-0.13078966460667882
bridge_2016_2017_climatology,P3,240.0,xgboost,-0.18732378205977163,-0.2691367605865648,-0.09861880847921692,0.9611064499616621,0.9735312752723695,20,20,0.013195444544315094,0.08036777013595627,0.009832940322007988,bridge_2016_2017,False,False,-0.19715672238177961
bridge_2016_2017_climatology,P3,365.0,xgboost,-0.3741679471049727,-0.5547929486208988,-0.17719423627114433,1.0513433951547702,0.9079246765032206,20,20,0.013195444544315094,0.1648988031448912,0.020218521491375263,bridge_2016_2017,False,False,-0.39438646859634796
bridge_2016_2017_climatology,S2,1.0,pchip,0.7571057666457973,0.6371591325726919,0.858278430167874,0.14587905668282244,0.8600000095367433,20,20,0.5762100608364376,0.9246317645140131,0.7520618709915423,bridge_2016_2017,True,False,0.005043895654255004
bridge_2016_2017_climatology,S2,3.0,linear,0.5411814115444524,0.23968576992956958,0.7871041613059188,0.1700000802675883,0.8633333508173628,20,20,0.5762100608364376,0.9246317645140131,0.7520618709915423,bridge_2016_2017,False,False,-0.21088045944708989
bridge_2016_2017_climatology,S2,7.0,pchip,0.5832635392008321,0.43586101612327655,0.7250303228349647,0.20976717104431897,0.8760714571816581,20,20,0.5762100608364376,0.8518185676117175,0.6589866095781408,bridge_2016_2017,False,False,-0.07572307037730874
bridge_2016_2017_climatology,S2,10.0,pchip,0.4655767455000139,0.23073840440607346,0.6703687322292691,0.2908159495119684,0.89349999666214,20,20,0.5762100608364376,0.7777638721088697,0.5908150139878108,bridge_2016_2017,False,False,-0.1252382684877969
bridge_2016_2017_climatology,S2,14.0,pchip,0.4030098538565798,0.18140566258813426,0.5846659603412538,0.36435151044380965,0.9057142979758128,20,20,0.5762100608364376,0.6829321994567858,0.5244625757946191,bridge_2016_2017,False,False,-0.1214527219380393
bridge_2016_2017_climatology,S2,21.0,random_forest,0.3191976256720557,0.2074109334854275,0.4163531449429937,0.5554409168860944,0.919761904761905,20,20,0.5762100608364376,0.5382523796986846,0.45135496686165844,bridge_2016_2017,False,False,-0.13215734118960276
bridge_2016_2017_climatology,S2,30.0,kalman,0.3596447978839627,0.22928210517910283,0.4783774510347157,0.47641874665692796,0.8949999934832255,20,20,0.5762100608364376,0.3908115802476401,0.4007813942824364,bridge_2016_2017,False,False,-0.041136596398473724
bridge_2016_2017_climatology,S2,45.0,xgboost,0.37588806773680694,0.3106810668616403,0.43714265202592617,0.5171739053726196,0.8758888706631132,20,20,0.5762100608364376,0.14617265420667128,0.35600073384700215,bridge_2016_2017,True,False,0.019887333889804792
bridge_2016_2017_climatology,S2,60.0,xgboost,0.4038469698139414,0.34195072563802237,0.46021236642079666,0.5105643073717753,0.8884166507720949,20,20,0.5762100608364376,0.10356108985549754,0.3525088149417831,bridge_2016_2017,True,False,0.051338154872158315
