network_id,station_id,gap_length,season_plurality,observed_recovery_loss,dur_season,simple,empirical,surface,support_status,horizon_group
chmi_jizera,0-203-1-084500,30.0,DJF,0.896229041021593,0.7053899662610769,0.715019429712715,0.7542465953458096,0.7182179306322035,direct,direct
chmi_jizera,0-203-1-084500,60.0,DJF,0.9904273817017372,0.9509801317370232,0.8815114128315407,1.236141329215872,0.8997553303059584,interpolated,fallback
chmi_jizera,0-203-1-084500,90.0,JJA,1.3052701252857717,1.3743931530380793,1.1350723482871266,1.0518979604157546,1.1843215798728974,direct,direct
chmi_jizera,0-203-1-084500,180.0,DJF,2.455259462882618,1.414687020145989,2.0970329579606832,2.176794391746099,2.0555838618434663,direct,direct
chmi_jizera,0-203-1-084500,365.0,DJF,4.589994617099849,1.7698273859548541,4.203725257627982,1.236141329215872,2.2403959229933865,extrapolated,fallback
chmi_jizera,0-203-1-091000,7.0,DJF,0.4084014941397167,0.2857295721324808,0.5788219827300727,0.5285352902414833,0.4798535306761506,direct,direct
chmi_jizera,0-203-1-091000,14.0,DJF,0.5925750506121343,0.4708851932070064,0.7280131709691184,1.236141329215872,0.6266832043640558,interpolated,fallback
chmi_jizera,0-203-1-091000,30.0,DJF,0.813689578109471,0.7053899662610769,0.8454133156345651,0.7916459751007001,0.7119868948642533,direct,direct
chmi_jizera,0-203-1-091000,60.0,DJF,0.8932688980476016,0.9509801317370232,0.9965081618936628,1.236141329215872,0.8941380109950857,interpolated,fallback
chmi_jizera,0-203-1-091000,90.0,JJA,1.1927716266168569,1.3743931530380793,1.2325943655629388,1.112823255645454,1.1800472296231015,direct,direct
chmi_jizera,0-203-1-091000,180.0,DJF,2.467797287643565,1.414687020145989,2.14978289817581,2.27456989197679,2.061333509251239,direct,direct
chmi_jizera,0-203-1-091000,365.0,DJF,4.708852323651747,1.7698273859548541,4.227435306722883,1.236141329215872,2.229568122293456,extrapolated,fallback
chmi_jizera,0-203-1-098000,7.0,DJF,0.5827951060699703,0.2857295721324808,0.5364112166883634,0.536455358257206,0.4751974922288642,direct,direct
chmi_jizera,0-203-1-098000,14.0,DJF,0.7575401322061708,0.4708851932070064,0.7244789077302709,1.236141329215872,0.6220835058534809,interpolated,fallback
chmi_jizera,0-203-1-098000,30.0,DJF,0.8801447502539249,0.7053899662610769,0.8700300369952665,0.8054383568715417,0.7065520415860604,direct,direct
chmi_jizera,0-203-1-098000,60.0,DJF,0.88973701187772,0.9509801317370232,1.0392172291768371,1.236141329215872,0.8871980925490753,interpolated,fallback
chmi_jizera,0-203-1-098000,90.0,JJA,1.2075973422786903,1.3743931530380793,1.2789146048071336,1.174155651866395,1.1721274287631154,direct,direct
chmi_jizera,0-203-1-098000,180.0,DJF,2.28833778090354,1.414687020145989,2.194131502510262,2.518868606766716,2.060204779159639,direct,direct
chmi_jizera,0-203-1-098000,365.0,DJF,4.276711372848423,1.7698273859548541,4.277413500181341,1.236141329215872,2.2183555353774573,extrapolated,fallback
chmi_jizera,0-203-1-099900,7.0,DJF,0.3684186183649396,0.2857295721324808,0.5311707328864876,0.351519143289705,0.4644241515355511,direct,direct
chmi_jizera,0-203-1-099900,14.0,DJF,0.62925803208774,0.4708851932070064,0.7639965729965339,1.236141329215872,0.6098560329583349,interpolated,fallback
chmi_jizera,0-203-1-099900,30.0,DJF,0.9960698470779012,0.7053899662610769,1.0199897296255824,0.703229194384863,0.6946135790324465,direct,direct
chmi_jizera,0-203-1-099900,60.0,DJF,1.0751268845817048,0.9509801317370232,1.2439008820562414,1.236141329215872,0.876281532810342,interpolated,fallback
chmi_jizera,0-203-1-099900,90.0,JJA,1.3514328482991422,1.3743931530380793,1.4823825623908415,1.1742795058022677,1.1629360090973209,direct,direct
chmi_jizera,0-203-1-099900,180.0,DJF,3.0521231787402248,1.414687020145989,2.3450971500638302,2.675555026077503,2.0505843449865178,direct,direct
chmi_jizera,0-203-1-099900,365.0,DJF,5.73544287847251,1.7698273859548541,4.365122211190027,1.236141329215872,2.193249441503279,extrapolated,fallback
chmi_jizera,0-203-1-101800,7.0,DJF,0.4967206897622865,0.2857295721324808,0.600249537709445,0.4196540780165199,0.5712899083810755,direct,direct
chmi_jizera,0-203-1-101800,14.0,DJF,0.6839845668716126,0.4708851932070064,0.7659751203052543,1.236141329215872,0.7276936952448104,interpolated,fallback
chmi_jizera,0-203-1-101800,30.0,DJF,1.0833375179076674,0.7053899662610769,0.952105399522892,0.7863392621164087,0.8182294852063975,direct,direct
chmi_jizera,0-203-1-101800,60.0,DJF,1.14503413983231,0.9509801317370232,1.1467129112535968,1.236141329215872,1.0126985094685812,interpolated,fallback
chmi_jizera,0-203-1-101800,90.0,JJA,1.4097530531681688,1.3743931530380793,1.375616096237407,1.3019262449233375,1.318606273208438,direct,direct
chmi_jizera,0-203-1-101800,180.0,DJF,3.2279098554205325,1.414687020145989,2.2432517681517377,2.991667327093136,2.2725088515619003,direct,direct
chmi_jizera,0-203-1-101800,365.0,DJF,6.275088925759103,1.7698273859548541,4.281889644529032,1.236141329215872,2.428379368046714,extrapolated,fallback
chmi_kamenice,0-203-1-087930,7.0,DJF,0.5827830074489132,0.2857295721324808,0.494584003983151,0.5146387375443356,0.3559609116338881,direct,direct
chmi_kamenice,0-203-1-087930,14.0,DJF,0.7246275637908434,0.4708851932070064,0.6875535277833589,1.0833160089803826,0.4920558642478443,interpolated,fallback
chmi_kamenice,0-203-1-087930,30.0,DJF,0.9405687586257588,0.7053899662610769,0.797372190690427,0.8388397666402316,0.5722315241712,direct,direct
chmi_kamenice,0-203-1-087930,60.0,DJF,0.980309911903275,0.9509801317370232,1.0104828140857145,1.0833160089803826,0.7377069672064084,interpolated,fallback
chmi_kamenice,0-203-1-087930,90.0,JJA,1.3342955005689774,1.3743931530380793,1.2814471000986094,1.1520643098484782,0.9930414050537628,direct,direct
chmi_kamenice,0-203-1-087930,180.0,DJF,2.346437861992218,1.414687020145989,2.2473834390639063,2.377629757604433,1.7897905466144544,direct,direct
chmi_kamenice,0-203-1-087930,365.0,DJF,4.214519906966385,1.7698273859548541,4.362058540220239,1.0833160089803826,1.96067022249928,extrapolated,fallback
chmi_kamenice,0-203-1-088000,7.0,DJF,0.1898634063251434,0.2857295721324808,0.1723826739690799,0.1516146650100878,0.2280855845629689,direct,direct
chmi_kamenice,0-203-1-088000,14.0,DJF,0.2456615190705404,0.4708851932070064,0.5706074378018153,1.0833160089803826,0.3498955447832724,interpolated,fallback
chmi_kamenice,0-203-1-088000,30.0,DJF,0.3422936681386238,0.7053899662610769,1.0175587377788855,0.2800496365648218,0.4204950618949938,direct,direct
chmi_kamenice,0-203-1-088000,60.0,DJF,0.4083631932193722,0.9509801317370232,1.4097747940472167,1.0833160089803826,0.57353178268159,interpolated,fallback
chmi_kamenice,0-203-1-088000,90.0,JJA,0.590434063389712,1.3743931530380793,1.6766005923535423,0.5507775028005673,0.8123788844570876,direct,direct
chmi_kamenice,0-203-1-088000,180.0,DJF,1.432920436498132,1.414687020145989,2.775544322205444,1.3278231572362067,1.554706617120151,direct,direct
chmi_kamenice,0-203-1-088000,365.0,DJF,2.660276224801906,1.7698273859548541,4.88168326120228,1.0833160089803826,1.6885029498061388,extrapolated,fallback
chmi_kamenice,0-203-1-090000,7.0,DJF,0.5467682846198005,0.2857295721324808,0.5040405976269005,0.6528367588757563,0.4031491615141659,direct,direct
chmi_kamenice,0-203-1-090000,14.0,DJF,0.7249683681947185,0.4708851932070064,0.7441801203819141,1.0833160089803826,0.5421658549288861,interpolated,fallback
chmi_kamenice,0-203-1-090000,30.0,DJF,0.9636722011501508,0.7053899662610769,0.9044064400298304,1.0188211959765543,0.6229087264533681,direct,direct
chmi_kamenice,0-203-1-090000,60.0,DJF,0.9952851855349732,0.9509801317370232,1.0808537680459644,1.0833160089803826,0.7916222783743744,interpolated,fallback
chmi_kamenice,0-203-1-090000,90.0,JJA,1.362268701247335,1.3743931530380793,1.3345636766824427,1.355387515804567,1.0586344235355536,direct,direct
